Call_ID,Caller,Receiver,Date,Time,Duration_Seconds
C001,P001,P002,2026-01-05,10:15,120
C002,P001,P003,2026-01-06,11:30,240
C003,P002,P003,2026-01-07,14:20,180
C004,P003,P004,2026-01-08,16:45,300
C005,P004,P005,2026-01-09,09:10,90
C006,P005,P006,2026-01-10,18:30,210
C007,P006,P007,2026-01-11,12:15,150
C008,P007,P008,2026-01-12,13:40,200
C009,P008,P009,2026-01-13,15:25,100
C010,P009,P010,2026-01-14,17:00,170
C011,P001,P004,2026-01-15,10:30,250
C012,P001,P005,2026-01-16,11:45,190
C013,P002,P006,2026-01-17,12:20,160
C014,P003,P007,2026-01-18,14:00,220
C015,P004,P008,2026-01-19,15:15,180
C016,P005,P009,2026-01-20,16:30,140
C017,P006,P010,2026-01-21,17:45,260
C018,P007,P011,2026-01-22,18:10,120
C019,P008,P012,2026-01-23,09:45,230
C020,P009,P013,2026-01-24,10:50,190
C021,P010,P014,2026-01-25,11:25,150
C022,P011,P015,2026-01-26,12:35,200
C023,P012,P016,2026-01-27,13:50,170
C024,P013,P017,2026-01-28,14:40,280
C025,P014,P018,2026-01-29,15:30,130
C026,P015,P019,2026-01-30,16:20,210
C027,P016,P020,2026-01-31,17:10,160
C028,P001,P002,2026-02-01,10:10,130
C029,P001,P002,2026-02-02,10:20,140
C030,P001,P002,2026-02-03,10:25,150
C031,P003,P004,2026-02-04,11:10,180
C032,P003,P004,2026-02-05,11:15,190
C033,P005,P006,2026-02-06,14:20,200
C034,P005,P006,2026-02-07,14:25,210
C035,P010,P011,2026-02-08,15:30,170
C036,P011,P012,2026-02-09,16:40,220
C037,P012,P013,2026-02-10,17:50,160
C038,P013,P014,2026-02-11,18:10,240
C039,P014,P015,2026-02-12,09:30,150
C040,P015,P016,2026-02-13,10:40,180
C041,P017,P018,2026-02-14,11:20,200
C042,P018,P019,2026-02-15,12:30,190
C043,P019,P020,2026-02-16,13:40,220
C044,P020,P021,2026-02-17,14:50,170
C045,P021,P022,2026-02-18,15:30,210
C046,P022,P023,2026-02-19,16:40,160
C047,P023,P024,2026-02-20,17:50,230
C048,P024,P025,2026-02-21,18:20,180
