Transaction_ID,Sender,Receiver,Amount,Date,Type
T001,P001,P002,5000,2026-01-05,Bank Transfer
T002,P002,P003,7500,2026-01-07,Bank Transfer
T003,P003,P004,12000,2026-01-09,UPI
T004,P004,P005,4500,2026-01-11,UPI
T005,P005,P006,9000,2026-01-13,Bank Transfer
T006,P006,P007,6500,2026-01-15,UPI
T007,P007,P008,8000,2026-01-17,Bank Transfer
T008,P008,P009,3500,2026-01-19,UPI
T009,P009,P010,11000,2026-01-21,Bank Transfer
T010,P001,P004,15000,2026-01-23,Bank Transfer
T011,P002,P005,18000,2026-01-25,UPI
T012,P003,P006,22000,2026-01-27,Bank Transfer
T013,P004,P007,9500,2026-01-29,UPI
T014,P005,P008,13500,2026-01-31,Bank Transfer
T015,P006,P009,7000,2026-02-02,UPI
T016,P007,P010,12500,2026-02-04,Bank Transfer
T017,P001,P003,75000,2026-02-06,Bank Transfer
T018,P003,P005,85000,2026-02-08,Bank Transfer
T019,P005,P007,65000,2026-02-10,UPI
T020,P007,P009,92000,2026-02-12,Bank Transfer
T021,P010,P012,14500,2026-02-14,UPI
T022,P011,P013,16500,2026-02-16,Bank Transfer
T023,P012,P014,19000,2026-02-18,UPI
T024,P013,P015,21000,2026-02-20,Bank Transfer
T025,P014,P016,11500,2026-02-22,UPI
T026,P015,P017,13500,2026-02-24,Bank Transfer
T027,P016,P018,15500,2026-02-26,UPI
T028,P017,P019,17500,2026-02-28,Bank Transfer
T029,P018,P020,19500,2026-03-02,UPI
T030,P020,P021,22500,2026-03-04,Bank Transfer
T031,P021,P022,24500,2026-03-06,UPI
T032,P022,P023,27500,2026-03-08,Bank Transfer
T033,P023,P024,30500,2026-03-10,UPI
T034,P024,P025,32500,2026-03-12,Bank Transfer
